"","tempo","imode"
"1",0,9
"2",0.01,9.11470490603012
"3",0.02,9.23083432228746
"4",0.03,9.3484049724509
"5",0.04,9.4674337514019
"6",0.05,9.58793772630712
"7",0.06,9.70993413768828
"8",0.07,9.8334404004783
"9",0.08,9.95847410506324
"10",0.09,10.085053018309
"11",0.1,10.2131950845721
"12",0.11,10.3429184266939
"13",0.12,10.4742413469763
"14",0.13,10.6071823281405
"15",0.14,10.7417600342646
"16",0.15,10.8779933117019
"17",0.16,11.0159011899777
"18",0.17,11.1555028826638
"19",0.18,11.2968177882292
"20",0.19,11.4398654908675
"21",0.2,11.5846657612979
"22",0.21,11.7312385575405
"23",0.22,11.8796040256638
"24",0.23,12.0297825005033
"25",0.24,12.1817945063507
"26",0.25,12.3356607576119
"27",0.26,12.4914021594324
"28",0.27,12.64903980829
"29",0.28,12.8085949925522
"30",0.29,12.9700891929978
"31",0.3,13.1335440833006
"32",0.31,13.2989815304756
"33",0.32,13.4664235952837
"34",0.33,13.6358925325956
"35",0.34,13.8074107917129
"36",0.35,13.981001016644
"37",0.36,14.1566860463348
"38",0.37,14.3344889148513
"39",0.38,14.5144328515133
"40",0.39,14.6965412809778
"41",0.4,14.8808378232687
"42",0.41,15.0673462937546
"43",0.42,15.2560907030683
"44",0.43,15.4470952569712
"45",0.44,15.6403843561563
"46",0.45,15.8359825959918
"47",0.46,16.0339147662005
"48",0.47,16.234205850475
"49",0.48,16.436881026026
"50",0.49,16.6419656630613
"51",0.5,16.8494853241951
"52",0.51,17.0594657637833
"53",0.52,17.2719329271849
"54",0.53,17.4869129499461
"55",0.54,17.7044321569049
"56",0.55,17.9245170612151
"57",0.56,18.147194363286
"58",0.57,18.372490949637
"59",0.58,18.6004338916639
"60",0.59,18.8310504443144
"61",0.6,19.0643680446715
"62",0.61,19.3004143104409
"63",0.62,19.5392170383418
"64",0.63,19.7808042023965
"65",0.64,20.0252039521181
"66",0.65,20.2724446105926
"67",0.66,20.5225546724537
"68",0.67,20.7755628017464
"69",0.68,21.0314978296784
"70",0.69,21.2903887522551
"71",0.7,21.5522647277964
"72",0.71,21.8171550743321
"73",0.72,22.0850892668731
"74",0.73,22.3560969345562
"75",0.74,22.630207857658
"76",0.75,22.9074519644778
"77",0.76,23.1878593280829
"78",0.77,23.4714601629168
"79",0.78,23.7582848212655
"80",0.79,24.0483637895783
"81",0.8,24.3417276846422
"82",0.81,24.6384072496046
"83",0.82,24.9384333498425
"84",0.83,25.2418369686749
"85",0.84,25.5486492029145
"86",0.85,25.8589012582565
"87",0.86,26.172624444501
"88",0.87,26.4898501706051
"89",0.88,26.8106099395622
"90",0.89,27.1349353431058
"91",0.9,27.4628580562325
"92",0.91,27.7944098315434
"93",0.92,28.1296224933985
"94",0.93,28.4685279318824
"95",0.94,28.811158096577
"96",0.95,29.1575449901381
"97",0.96,29.5077206616732
"98",0.97,29.861717199916
"99",0.98,30.2195667261951
"100",0.99,30.5813013871942
"101",1,30.9469533474989
"102",1.01,31.3165547819278
"103",1.02,31.6901378676451
"104",1.03,32.0677347760501
"105",1.04,32.4493776644416
"106",1.05,32.8350986674533
"107",1.06,33.2249298882574
"108",1.07,33.618903389533
"109",1.08,34.0170511841959
"110",1.09,34.4194052258877
"111",1.1,34.8259973992201
"112",1.11,35.236859509772
"113",1.12,35.6520232738361
"114",1.13,36.0715203079128
"115",1.14,36.4953821179476
"116",1.15,36.9236400883097
"117",1.16,37.3563254705096
"118",1.17,37.7934693716526
"119",1.18,38.2351027426249
"120",1.19,38.6812563660116
"121",1.2,39.1319608437425
"122",1.21,39.5872465844651
"123",1.22,40.0471437906405
"124",1.23,40.5116824453626
"125",1.24,40.9808922988964
"126",1.25,41.4548028549354
"127",1.26,41.9334433565751
"128",1.27,42.4168427720014
"129",1.28,42.9050297798932
"130",1.29,43.3980327545368
"131",1.3,43.8958797506513
"132",1.31,44.3985984879246
"133",1.32,44.9062163352585
"134",1.33,45.4187602947228
"135",1.34,45.936256985217
"136",1.35,46.4587326258408
"137",1.36,46.9862130189718
"138",1.37,47.5187235330515
"139",1.38,48.05628908508
"140",1.39,48.5989341228189
"141",1.4,49.1466826067041
"142",1.41,49.6995579914698
"143",1.42,50.2575832074839
"144",1.43,50.8207806417968
"145",1.44,51.3891721189058
"146",1.45,51.9627788812364
"147",1.46,52.5416215693433
"148",1.47,53.1257202018335
"149",1.48,53.7150941550144
"150",1.49,54.3097621422701
"151",1.5,54.9097421931693
"152",1.51,55.5150516323088
"153",1.52,56.1257070578963
"154",1.53,56.7417243200781
"155",1.54,57.3631184990145
"156",1.55,57.9899038827106
"157",1.56,58.6220939446052
"158",1.57,59.2597013209267
"159",1.58,59.9027377878194
"160",1.59,60.5512142382492
"161",1.6,61.2051406586939
"162",1.61,61.8645261056273
"163",1.62,62.5293786818028
"164",1.63,63.1997055123472
"165",1.64,63.8755127206712
"166",1.65,64.5568054042074
"167",1.66,65.243587609984
"168",1.67,65.9358623100449
"169",1.68,66.6336313767272
"170",1.69,67.3368955578052
"171",1.7,68.0456544515143
"172",1.71,68.7599064814654
"173",1.72,69.4796488714617
"174",1.73,70.2048776202327
"175",1.74,70.9355874760957
"176",1.75,71.6717719115613
"177",1.76,72.4134230978948
"178",1.77,73.1605318796503
"179",1.78,73.9130877491904
