"","Parameter","est","Lower-Bound","Upper-Bound","test-stat","df","p.value","UL_Difference"
"1","beta",0.99992799279928,0.99752237800143,1.00233360759713,824.87211183427,98,4.6384606098434E-190,c(-823.869778226672
"2","gama",-0.99990399039904,-1.00268173843234,-0.997126242365735,-714.347342807449,98,6.13941204226833E-184,c(-823.869778226672
"3","tau",-0.99991599159916,-1.00251434475719,-0.99731763844113,-763.676306447848,98,8.84390304150953E-187,c(-823.869778226672
"4","mu",-0.99992799279928,-1.00233360759713,-0.99752237800143,-824.87211183427,98,4.6384606098434E-190,c(-823.869778226672
"5","w",0.99974797479748,0.995247684162725,1.00424826543223,440.853153655179,98,2.10799263796982E-163,c(-823.869778226672
"6","theta",0.998979897989799,0.989927639266255,1.00803215671334,218.999827094304,98,1.17166378269804E-133,c(-823.869778226672
