"","X1","Y"
"1",0.0789092369617096,3791.38660329846
"2",0.0970263332254918,3446.11466892488
"3",0.0737806563804458,3934.13633515922
"4",0.0736035282065027,3940.91411029458
"5",0.0961459441330018,3459.85445027305
"6",0.0980514022947422,3429.95280526754
"7",0.0866560148314706,3625.41582080866
"8",0.0976228057220578,3436.77276056056
"9",0.0865872217681525,3626.48131319304
"10",0.0956053985801658,3468.44801839795
"11",0.0849441086740366,3658.75721317822
"12",0.0736324625841475,3936.70076521619
"13",0.0924175756777237,3522.15533230854
"14",0.0906320116482675,3552.10982665697
"15",0.0828551152175558,3702.37503680858
"16",0.0813875932778631,3734.98451592144
"17",0.0780316899690245,3814.89150367464
"18",0.0761115396122581,3865.23539597592
"19",0.0967247965160225,3450.75578965221
"20",0.0789381829482902,3792.46978444738
"21",0.0876228868981291,3607.23936788422
"22",0.0752321696873488,3890.62490751261
"23",0.0850475276487746,3656.7138984398
"24",0.0878758870477655,3602.35190941315
"25",0.0890869002090767,3580.16822813624
"26",0.0906718053861654,3551.75608214415
"27",0.081326079693889,3735.36946086546
"28",0.0947497328390766,3483.22733586167
"29",0.0965177937843172,3453.85828284862
"30",0.0945469170296565,3486.30436388285
"31",0.0811485260784892,3739.79737034732
"32",0.0908511617154415,3549.29911426314
"33",0.077516421967053,3828.50407266947
"34",0.0907840862357989,3550.30877756189
"35",0.0953626891684585,3472.30313077447
"36",0.0831989692284592,3694.49586187943
"37",0.0749985523894429,3900.26712140107
"38",0.0857343100450401,3642.6232499166
"39",0.0833583408554218,3691.29905180478
"40",0.0811209389600637,3741.02998604565
"41",0.0862824324431962,3633.07478350317
"42",0.0973073686679293,3441.32140711297
"43",0.0972284532411556,3443.3215712769
"44",0.075220152816203,3891.41070963302
"45",0.0765969118562394,3854.07603044613
"46",0.0740220907550039,3929.52387609134
"47",0.0974249366424711,3439.33527594115
"48",0.0819261734001338,3722.58488051759
"49",0.086517486668724,3628.4793919252
"50",0.0844742989839454,3667.92724961875
"51",0.0886490487041218,3587.99451603303
"52",0.095488811689429,3470.76049756933
"53",0.0976182220244248,3436.92309561677
"54",0.0893473328975961,3575.77625059498
"55",0.0775900528852695,3826.03761044377
"56",0.0768614269686597,3844.4795055135
"57",0.0868952260618763,3620.09300068215
"58",0.0864412956598348,3628.84415160445
"59",0.0740462298218959,3927.51206884236
"60",0.0924707956319409,3520.22218989696
"61",0.0796667166639652,3774.04742091953
"62",0.0932033816505489,3508.04330350047
"63",0.0914834266029564,3537.33210646913
"64",0.0947666592483542,3482.42374127648
"65",0.0772684432120462,3832.50688816996
"66",0.0761712265639965,3864.03192494482
"67",0.0825160437888865,3708.78276095587
"68",0.0873172055171536,3612.82352763203
"69",0.0730443752058116,3958.46728125485
"70",0.0772552901260289,3834.72991242918
"71",0.0745821518331234,3907.47879347586
"72",0.0755910367285833,3880.84292484946
"73",0.0971793992365045,3443.43902553026
"74",0.0755497900416542,3879.97062612563
"75",0.0966521237511188,3451.83395259089
"76",0.091200466938982,3542.40349466352
"77",0.0929313116953043,3513.0096278268
"78",0.0940706000969346,3493.85709344126
"79",0.0929745315900072,3511.93206013944
"80",0.0879444993134322,3600.71763017852
"81",0.0767733411830185,3849.26336493181
"82",0.0836271416289466,3686.26878915081
"83",0.0911904397879594,3543.04663861926
"84",0.089672765155722,3569.8855199594
"85",0.0913551976019517,3539.73459570088
"86",0.0950713583660711,3479.02428628562
"87",0.0945656005013734,3485.92604728413
"88",0.0770562368092526,3841.3751801376
"89",0.0903781828876319,3558.23432829055
"90",0.0793385524921385,3781.65318454721
"91",0.0811055862770549,3739.59552714705
"92",0.0776718647744773,3820.97867530912
"93",0.0918567221625043,3530.93087328248
"94",0.0957394735574988,3466.44559978199
"95",0.0828560394720573,3702.51340715329
"96",0.0890099615463987,3581.8234049058
"97",0.0935402655461803,3502.51228755089
"98",0.0748768110653119,3903.84989862489
"99",0.0926635086137269,3517.5672517181
"100",0.0758196404928874,3871.74171790442
